1	német terem	N.	-1	Ónodi
2	ének terem	É.	-1	Ónodi
3	földszint 8.	F.8	0	Ónodi
4	földszint 9	F.9	0	Ónodi
5	földszint 10	F.10	0	Ónodi
6	földszint 11	F.11	0	Ónodi
7	földszint 12	F.12	0	Ónodi
8	földszint 16.	F.16	0	Kőrösi
9	földszint 17.	F.17	0	Kőrösi
10	földszint 18.	F.18	0	Kőrösi
11	angol 1.	A.1	0	Kőrösi
12	angol 2.	A.2	0	Kőrösi
13	angol 3.	A.3	0	Kőrösi
14	francia terem	Fr.	1	Ónodi
15	spanyol terem	Sp.	1	Ónodi
16	I. emelet 30.	I.30	1	Ónodi
17	I. emelet 31.	I.31	1	Ónodi
18	I. emelet 32.	I.32	1	Ónodi
19	DÖK szoba	dök	1	Ónodi
20	I. emelet 33	I.33	1	Ónodi
21	I. emelet 34.	I.34	1	Ónodi
22	díszterem	D.	1	Front
23	matematika terem	M.	1	Kőrösi
24	I. emelet 39.	I.39	1	Kőrösi
25	latin terem	L.	1	Kőrösi
26	olasz 2.	Ol.2	1	Ónodi
27	II. emelet olasz 1.	Ol.1	2	Kőrösi
28	olasz tanári	Ol.t	2	Kőrösi
29	II. emelet orosz terem	II.40	2	Ónodi
30	II. emelet 41.	II.41	2	Ónodi
31	II. emelet 42.	II.42	2	Ónodi
32	II. emelet 43.	II.43	2	Ónodi
33	II. emelet 44.	II.44	2	Ónodi
34	II. emelet Kőrösi folyosó	II.	2	Kőrösi
35	II. emelet 48.	II.48	2	Kőrösi
36	történelem szertár	tsz	2	Kőrösi
37	II. emelet 50.	II.50	2	Kőrösi
38	II. emelet 51.	II.51	2	Kőrösi
39	II. emelet rajz terem	R.	2	Kőrösi
40	III. emelet fizika terem	Fiz.	3	Ónodi
41	Öveges labor 1	L.1	3	Ónodi
42	III. emelet töm.kom. terem	Tk.	3	Ónodi
43	könyvtár	Kt.	3	Front
44	III. emelet kémia előadó	K.ea	3	Kőrösi
45	III. emelet kémia gyakorló	K.gy	3	Kőrösi
46	III. emelet biológia előadó	B.ea	3	Kőrösi
47	tetőtér biológia gyakorló	B.gy	4	Kőrösi
48	tetőtér számítástechnika 1.	Szt.1	4	Kőrösi
49	tetőtér számítástechnika 2.	Szt.2	4	Kőrösi
50	tetőtér számítástechnika 3.	Szt.3	4	Kőrösi
51	tetőtéri stúdió	Tt.s.	4	Ónodi
52	tetőtér nyelvi terem	T.2	4	Kőrösi
53	tornacsarnok	Tt.	0	Testnevelés
54	Tesi 1	Tt.	0	Testnevelés
55	Tesi 2	Tt.	0	Testnevelés
56	Tesi 3	Tt.	0	Testnevelés
57	Tesi 4	Tt.	0	Testnevelés
58	Tesi 5	Tt.	0	Testnevelés
59	Tesi 6	Tt.	0	Testnevelés
60	tornacsarnok	Tt.	0	Testnevelés
61	tornaszoba 2	Tt.	0	Testnevelés
